Regiao,Estado,Mês,RADIACAO GLOBAL (Kj/m²),"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),Ano
CO,DF,1,1395.985288640596,0.5307319698600645,23.091523143164693,21.794994617868674,2020
CO,DF,2,1367.029353493222,0.4747335061941803,22.618179199078075,21.292365312590032,2020
CO,DF,3,1369.523778664008,0.460567296996663,22.58174470457079,21.29367335562988,2020
CO,DF,4,1357.0053911205075,0.2995265942634363,22.2760790866054,20.99250905040379,2020
CO,DF,5,1420.355944055944,0.0337152209492635,20.355852660300137,18.91885402455662,2020
CO,DF,6,1438.6094444444443,0.0,20.222361111111116,18.615194444444445,2020
CO,DF,7,1583.5278882321331,0.0,20.18695885990858,18.4652594783544,2020
CO,DF,8,1699.9757188498402,0.0,21.56059181415929,19.88606194690265,2020
CO,DF,9,1857.830694143167,0.0442211055276381,24.50938285395141,22.69246020664619,2020
CO,DF,10,1416.5299559471366,0.2142699724517906,24.727124724061813,23.21564569536424,2020
CO,DF,11,1439.9453549309194,0.2490458558815152,22.65733409285104,21.33207063514668,2020
CO,DF,12,1504.7877777777778,0.3004687069203198,23.37000275709953,21.915384615384617,2020
CO,GO,1,1376.328097846619,0.4219397246682376,25.3064009947892,24.03397086688773,2020
CO,GO,2,1377.7493429419246,0.5000489818767057,24.78992764295319,23.538682205289103,2020
CO,GO,3,1403.2731505284205,0.2744374813488511,24.898169822145725,23.612208835341363,2020
CO,GO,4,1346.5103741670937,0.1652512035551166,24.41535134494608,23.13132480151677,2020
CO,GO,5,1315.7073775573465,0.0317220917295092,22.127064464571124,20.675048836796304,2020
CO,GO,6,1320.585750798722,0.0009729145396672,22.67382716049383,21.05209274314965,2020
CO,GO,7,1380.543798071715,0.0,22.738842209316694,20.96458050166811,2020
CO,GO,8,1521.3435392947938,0.0001046298718284,24.04514311914587,22.22842077683893,2020
CO,GO,9,1634.6318459587226,0.0195264168385124,27.53393231715844,25.61990630681024,2020
CO,GO,10,1398.0673533900151,0.1925053229240596,27.430163641364132,25.83797015746407,2020
CO,GO,11,1574.4753759398498,0.1777795055201368,25.66959173423262,24.20903415614236,2020
CO,GO,12,1476.385498489426,0.2819169060463813,25.502716742716743,24.07889785889786,2020
CO,MS,1,1453.9607568978374,0.2429088957466791,27.24247844745737,25.9344081121112,2020
CO,MS,2,1391.3938642828118,0.2265363128491619,26.635476209974613,25.36938700298923,2020
CO,MS,3,1606.511088918479,0.085200179937022,27.196057029233828,25.637401091693818,2020
CO,MS,4,1484.7944754464284,0.1080038924705023,24.164131885734623,22.614487852629704,2020
CO,MS,5,1237.352503417635,0.1237883610593958,20.446505304448607,18.92765891058215,2020
CO,MS,6,1001.6001194852942,0.0895258404415454,21.675130877705985,20.411507805499223,2020
CO,MS,7,1165.8676419493463,0.0079859315196027,21.07575657739916,19.506669176824964,2020
CO,MS,8,1259.9816782069972,0.1000605426825912,22.81643257729912,21.148374609161745,2020
CO,MS,9,1365.864466278737,0.020895343972267,27.04813076549604,25.1912406786988,2020
CO,MS,10,1366.8478348623853,0.153102998696219,27.66417001848027,26.05148660422566,2020
CO,MS,11,1670.1550516705126,0.1067936507936507,26.96217956733775,25.310136403453885,2020
CO,MS,12,1469.8811155378485,0.1599609262770786,27.053933747412007,25.62984817115252,2020
CO,MT,1,1260.9731052069742,0.2837765833138583,26.459177813043148,25.22507745787048,2020
CO,MT,2,1149.4196931117665,0.4089623601220752,26.01971644690613,24.86299677765843,2020
CO,MT,3,1343.352107409925,0.2654743798185346,26.655668065192835,25.370856866225598,2020
CO,MT,4,1282.6787821908551,0.1647778457432019,26.34008939974457,25.087858663260963,2020
CO,MT,5,1164.7785675738185,0.079734146872957,24.414833235810416,23.086529298670904,2020
CO,MT,6,1255.480500468125,0.0018257625630897,25.10445977415528,23.55225185640845,2020
CO,MT,7,1332.9754783219237,0.001719303084632,25.381903491420942,23.550121900731405,2020
CO,MT,8,1407.5752996696556,0.001459478904363,27.12197694761758,25.213656478336937,2020
CO,MT,9,1389.1128294111268,0.0221903096903096,29.81944843974736,27.864701100550278,2020
CO,MT,10,1341.891781928319,0.1271826536473291,28.857724070925432,27.268721156181684,2020
CO,MT,11,1491.5751599360256,0.1501337136744517,27.97264598877721,26.481804168208164,2020
CO,MT,12,1351.7313877808103,0.1865688715429648,26.58662575032036,25.26459162338976,2020
N,AC,1,997.3571292775664,0.2873655913978494,26.694886745907155,25.567593630858937,2020
N,AC,2,906.7566655184291,0.3068998562529947,26.20543973160796,25.176683441169423,2020
N,AC,3,1013.7735693701112,0.305065963060686,26.333623647400373,25.211744523621007,2020
N,AC,4,1028.9613449972662,0.2165261382799325,25.69505201012089,24.58737700309249,2020
N,AC,5,1230.3005012531328,0.1552135054617676,25.67672382342211,24.154688070047428,2020
N,AC,6,1183.644744744745,0.0815450643776824,26.42156693930263,24.79427464485579,2020
N,AC,7,1217.0730110775428,0.1280473372781065,25.99707293666027,24.25945297504798,2020
N,AC,8,1396.5960446247464,0.0595518867924528,26.378416422287387,24.448856304985338,2020
N,AC,9,1375.6240963855423,0.2148414123279473,27.61446578631453,25.931212484994,2020
N,AC,10,1500.5595465393794,0.1915322580645161,26.50960526315789,25.205789473684213,2020
N,AC,11,1497.1168604651164,0.1552777777777777,26.98201438848921,25.662851536952257,2020
N,AC,12,1245.4225685785536,0.4488644184445974,25.686157024793392,24.577272727272724,2020
N,AM,1,788.7039461883409,0.2086736244806971,27.59042053740885,26.513355309159927,2020
N,AM,2,702.5358269308532,0.2478934221482098,27.513519989910456,26.49706142010342,2020
N,AM,3,728.2378845398613,0.3663818600065724,27.6441414263304,26.64353807167853,2020
N,AM,4,669.686546184739,0.4237912789636928,26.994276471320145,26.03299738708473,2020
N,AM,5,621.568551644547,0.3614730878186969,26.921353682813532,25.927949568679495,2020
N,AM,6,697.8698022190063,0.2205956225331898,27.40356394129979,26.285040431266847,2020
N,AM,7,810.0019234071784,0.0982004167455957,27.987416134838817,26.66812305678285,2020
N,AM,8,847.2069292216237,0.0645172533983966,28.487203791469195,27.14042478497455,2020
N,AM,9,891.2195335858083,0.1257696030977735,28.994445490491437,27.65466013933346,2020
N,AM,10,832.4425354969575,0.129859034600598,28.405915379987967,27.12279927812312,2020
N,AM,11,787.2407818411098,0.3396944184596196,27.886613566289824,26.745940390544707,2020
N,AM,12,704.4982990786675,0.312293411817976,27.098077363241018,26.074433508812085,2020
N,AP,1,1251.0705583756344,0.3243626062322946,26.477998580553585,25.508516678495383,2020
N,AP,2,1214.7722443559096,0.2893303899926416,26.43556701030928,25.484167893961708,2020
N,AP,3,1251.8667490729297,0.3174410774410774,26.57744107744108,25.678047138047138,2020
N,AP,4,1203.5953667953668,0.5959971408148678,26.538637992831543,25.621792114695342,2020
N,AP,5,1362.0574149659865,0.4735668789808916,27.27810745789896,26.29045709703288,2020
N,AP,6,1299.802551020408,0.3730555555555556,26.71333333333333,25.68923611111111,2020
N,AP,7,1454.291707920792,0.1606182795698924,27.18279569892473,26.045967741935485,2020
N,AP,8,1615.8974452554744,0.1374999999999999,28.13770161290323,27.0065188172043,2020
N,AP,9,1763.6640204865555,0.0720946416144746,28.53757828810021,27.37689631176061,2020
N,AP,10,1808.3162060301504,0.0239569313593539,29.218977119784658,27.984791386271876,2020
N,AP,11,1408.768992248062,0.4283530229325921,27.55517720639333,26.5184850590688,2020
N,AP,12,1479.2932098765432,0.1023066485753053,27.57238805970149,26.47951153324288,2020
N,PA,1,1053.4501002004008,0.4038327696907317,26.4115079182924,25.4270599036034,2020
N,PA,2,997.2341129101344,0.5006035759025168,26.288490284005977,25.32704499768053,2020
N,PA,3,1086.6303511781168,0.5465759961822954,26.398253789704857,25.432477899812483,2020
N,PA,4,1121.9299774973094,0.4603935511555201,26.44339455631777,25.489328391237,2020
N,PA,5,1171.8511324570272,0.2686249622242369,27.05248658918194,25.98728207420653,2020
N,PA,6,1253.913933628797,0.0955854609483083,27.08339833203336,25.87227455450891,2020
N,PA,7,1353.8655372807016,0.0395656515227159,27.48019851426431,26.06223859167239,2020
N,PA,8,1471.0147593715203,0.0355471750820588,28.405017119698137,26.88754192286193,2020
N,PA,9,1531.4697781065088,0.0555998008959681,28.79452751898536,27.303084631644875,2020
N,PA,10,1486.908835125448,0.1303379200599082,28.68856178511157,27.293615824505483,2020
N,PA,11,1254.5025857115495,0.3415424219671779,27.28025893319524,26.165126877265664,2020
N,PA,12,1256.1426934097422,0.2233407177669472,27.043105435842865,25.93466347432828,2020
N,RO,1,1270.3761417322837,0.4451612903225806,26.452867383512547,25.35506272401434,2020
N,RO,2,1203.355642361111,0.5618773946360154,26.03999042145594,25.064032567049807,2020
N,RO,3,1187.1211195928754,0.3806451612903226,26.08418458781362,25.091263440860214,2020
N,RO,4,1352.529673321234,0.2056560037088549,26.512980992118685,25.430968938340285,2020
N,RO,5,1307.7974842767296,0.1496055684454756,25.213376683697167,24.078913144449604,2020
N,RO,6,1355.0887305699482,0.0149193548387096,25.9514131897712,24.630753701211308,2020
N,RO,7,1521.1602809706258,0.0019620667102681,26.715672131147542,25.154295081967216,2020
N,RO,8,1627.0308153477215,0.0020291693088142,27.68335451080051,26.068805590851337,2020
N,RO,9,1333.7277044854882,0.0201388888888888,29.183055555555555,27.603472222222223,2020
N,RO,10,1338.8632678132678,0.0970430107526881,27.41021505376344,26.036693548387092,2020
N,RO,11,1520.8011221945137,0.3291666666666666,27.530486111111117,26.24263888888889,2020
N,RO,12,1257.8881176470586,0.2336021505376344,25.98702956989247,24.83844086021505,2020
N,RR,1,1588.91725,0.0094086021505376,28.491935483870968,27.23924731182796,2020
N,RR,2,1680.2251989389922,0.0025862068965517,29.242672413793105,27.966379310344827,2020
N,RR,3,1721.7778054862845,0.0075268817204301,30.391397849462365,29.059274193548383,2020
N,RR,4,1559.673297002725,0.1455555555555555,29.526805555555555,28.213194444444444,2020
N,RR,5,1323.8563591022444,0.3889784946236558,27.46666666666667,26.29462365591398,2020
N,RR,6,1060.834903640257,0.5272222222222221,26.64125,25.435,2020
N,RR,7,819.6620168067227,0.4014970059880239,26.824580152671757,25.40274809160305,2020
N,RR,8,1034.6840384615384,0.2580645161290322,27.0375,25.719220430107526,2020
N,RR,9,1381.58547008547,0.1807106598984771,27.963171355498723,26.44450127877238,2020
N,RR,10,,,,,2020
N,RR,11,,,,,2020
N,RR,12,1716.8714285714284,0.0109890109890109,29.21318681318681,27.745054945054942,2020
N,TO,1,1332.959038686987,0.4255489323172112,26.27783431711785,25.140816880385373,2020
N,TO,2,1386.8480728893549,0.4079641441130839,26.297642792384405,25.113599274705347,2020
N,TO,3,1274.2345347554246,0.4204856584093872,26.050491049662188,24.981758027443057,2020
N,TO,4,1342.2061053732514,0.3363214315860555,26.515850349850066,25.33593459945737,2020
N,TO,5,1376.9300989554702,0.0688718546908848,26.58696715842538,25.29425457780414,2020
N,TO,6,1480.8847380766224,0.0018556350017024,26.0462370168568,24.455295419717352,2020
N,TO,7,1549.2443808049534,8.661008141347653e-05,25.953894134973577,24.06233214935459,2020
N,TO,8,1642.3576321090966,0.0006990500089621,27.7938245047952,25.76082280182845,2020
N,TO,9,1710.1700540009815,0.0116338582677165,29.757245131729672,27.712151584574265,2020
N,TO,10,1496.5848959999998,0.1522771845718021,29.46698866436668,27.81492360768852,2020
N,TO,11,1462.3391097240474,0.2022689183962872,27.708059316569955,26.375478186116485,2020
N,TO,12,1388.606346942414,0.2133645955451348,27.247693574958813,25.88598328821937,2020
NE,AL,1,1640.6972693421596,0.0302551365996839,28.71702415895236,27.488168886881915,2020
NE,AL,2,1621.7867021276595,0.0703386676590993,28.85115252574792,27.656204021579207,2020
NE,AL,3,1520.0994001713796,0.1943771964076532,28.457121661721068,27.26839762611276,2020
NE,AL,4,1488.5622613065327,0.2828762949421085,27.641326530612243,26.537815126050425,2020
NE,AL,5,1213.6267195767196,0.2787309048178613,26.23812814070352,25.21768216080402,2020
NE,AL,6,1197.688675096207,0.2205574912891986,25.1600531738119,24.06616816218013,2020
NE,AL,7,1270.431076759062,0.2097494922139472,24.35040595399188,23.149932341001357,2020
NE,AL,8,1481.7615550755938,0.1308607417774667,24.52355570839065,23.26420220082531,2020
NE,AL,9,1624.681423220974,0.0864779874213836,25.299610705596105,23.940535279805356,2020
NE,AL,10,1872.669779735683,,27.46549413735343,26.07386934673367,2020
NE,AL,11,1680.0122990353698,0.0108345534407027,27.48058968058968,26.14904176904177,2020
NE,AL,12,1539.5092934782608,0.0208483105679367,27.93209520375045,26.43764875586008,2020
NE,BA,1,1514.8718892240197,0.1898280802292263,26.694001218026795,25.467530450669912,2020
NE,BA,2,1593.0825691325929,0.0903275293395719,27.084807058367268,25.79808351108526,2020
NE,BA,3,1392.963882163035,0.2732745793750715,26.051398006321417,24.93528750303914,2020
NE,BA,4,1308.6839818301355,0.2411165111178013,25.470586570215445,24.41283220632175,2020
NE,BA,5,1128.613444723919,0.1403575025176233,24.20457722308892,23.158702028081123,2020
NE,BA,6,1123.4603112110983,0.1147480785653287,23.233863212638603,22.07987439897949,2020
NE,BA,7,1266.821047293014,0.0898840463814474,22.63146198074811,21.343068027650364,2020
NE,BA,8,1395.726361179045,0.0785979516056636,23.168874928612222,21.84244490728299,2020
NE,BA,9,1646.5847490347492,0.0383801726045585,24.914049408464887,23.451659534683014,2020
NE,BA,10,1603.8030330372017,0.093851744909643,26.90028647748829,25.52534551507878,2020
NE,BA,11,1429.8614810117665,0.218060704355885,25.35366601732499,24.183582708169272,2020
NE,BA,12,1752.48172730006,0.0213982596767971,26.524853161843517,25.09935691318328,2020
NE,CE,1,1150.615297230003,0.1968908629441624,27.36468222832483,26.23393487642213,2020
NE,CE,2,1161.2888617744466,0.2191126279863481,26.7988649134637,25.684861766689146,2020
NE,CE,3,1179.7208522727271,0.3595364143654314,26.66520353982301,25.585002949852505,2020
NE,CE,4,1196.19637031932,0.1909205947484973,26.89852209748472,25.77749040784425,2020
NE,CE,5,1162.2361421546714,0.1368926445169963,26.563839225702377,25.41305282968141,2020
NE,CE,6,1180.2372132335183,0.0315509915014164,26.28806362177149,25.005530424631548,2020
NE,CE,7,1335.4229215840544,0.0301246105919003,26.465659383232605,25.03858670385867,2020
NE,CE,8,1523.5287581699345,0.0032792207792207,27.498861603512765,25.95648072857375,2020
NE,CE,9,1524.7579318448884,0.0019573575672841,28.2547186298497,26.769293953163228,2020
NE,CE,10,1547.463366906475,0.0047918852745715,28.88404273953407,27.418497109826596,2020
NE,CE,11,1373.1672207084468,0.0372851631006664,28.20324493493658,26.883462362049087,2020
NE,CE,12,1353.3803733186935,0.0356027897708402,28.43233095198538,27.132945672038545,2020
NE,MA,1,1493.0683465222826,0.38831034806267,26.99510483375735,26.01080796561102,2020
NE,MA,2,1473.460786535038,0.3102232667450059,26.971369019422077,25.983098057792517,2020
NE,MA,3,1391.7777684704306,0.4824119482835488,26.752349187935035,25.8215003866976,2020
NE,MA,4,1334.8173697761931,0.449313951908708,26.88031206975677,25.865098669114275,2020
NE,MA,5,1495.10579481398,0.0788132635253054,27.83082200647249,26.691818770226536,2020
NE,MA,6,1511.7610439701723,0.0139190678633286,27.2937349738368,26.020322443784472,2020
NE,MA,7,1604.9941914841252,0.0027529874451671,27.230527604025017,25.758254011422355,2020
NE,MA,8,1577.719454163751,0.0011752297724875,28.176084010840107,26.66319783197832,2020
NE,MA,9,1370.6710834728533,0.0060577673692427,29.48958157820837,28.02659365346813,2020
NE,MA,10,1422.3270004679457,0.0377761081893313,29.49777027027027,28.23443243243243,2020
NE,MA,11,1231.4182245185532,0.2317783432287249,28.028025477707008,27.040268931351733,2020
NE,MA,12,1216.9275683825113,0.0877514218338188,27.77161335187761,26.72865090403338,2020
NE,PB,1,1440.5576181157394,0.0647317854283426,27.96395796847636,26.7338704028021,2020
NE,PB,2,1466.1615821094792,0.1456796000952154,27.51873848044235,26.36442760597993,2020
NE,PB,3,1414.0538837744534,0.3120871519972332,26.67803738317757,25.57973347178955,2020
NE,PB,4,1429.3940185630802,0.2261925795053003,26.42433307926829,25.360099085365853,2020
NE,PB,5,1173.6633485888633,0.2344218021114657,25.34239152999793,24.30301017230641,2020
NE,PB,6,1161.340212264151,0.1163964703468089,24.25384773240304,23.15134414118613,2020
NE,PB,7,1235.4273734177216,0.1181573143837294,23.927502590673573,22.66381347150259,2020
NE,PB,8,1423.6114285714286,0.0205250596658711,24.856323469801374,23.50074989866234,2020
NE,PB,9,1529.390084643289,0.0388973191704603,25.61442019683355,24.2346812152332,2020
NE,PB,10,1636.747812251392,0.0101221640488656,27.19751840168244,25.800946372239743,2020
NE,PB,11,1516.1656463954891,0.0428940568475452,27.178906079755937,25.87709740684245,2020
NE,PB,12,1505.1329783187523,0.0139860139860139,27.324886877828057,25.977910324969148,2020
NE,PE,1,1394.7761817515575,0.0712297570850202,27.815105672969967,26.46031145717464,2020
NE,PE,2,1427.404518192723,0.1423052362707535,27.229887694722866,25.96868735659945,2020
NE,PE,3,1290.743273542601,0.2983420463032114,26.49925081068992,25.314212233031423,2020
NE,PE,4,1290.7804157761802,0.1576477851520296,26.036469780219782,24.8573489010989,2020
NE,PE,5,1090.6342261335374,0.1349353049907578,25.116566230812964,23.982330869812397,2020
NE,PE,6,1047.6801604382704,0.122510460251046,23.81265701638952,22.637803565019738,2020
NE,PE,7,1160.0108449641646,0.0643433365601807,23.22082188644689,21.97488553113553,2020
NE,PE,8,1354.4718112005994,0.0331845023764943,23.81921249151392,22.531093007467756,2020
NE,PE,9,1510.6694391087206,0.0199139338180738,25.06212997224792,23.68297872340425,2020
NE,PE,10,1644.2583491101857,0.0090762699458351,27.565098545283902,26.07055373064289,2020
NE,PE,11,1469.2063706163106,0.0914379622021364,27.05377053595475,25.68175329921896,2020
NE,PE,12,1480.0180046111927,0.0261627127730867,27.436591579511934,26.038664700361977,2020
NE,PI,1,1242.0843666082894,0.2396990525729147,27.008201692524683,25.87679830747532,2020
NE,PI,2,1384.428766066838,0.2796184419713831,26.882381202612414,25.70136626379401,2020
NE,PI,3,1303.934458438287,0.4636512618813504,26.47439416058394,25.392233576642333,2020
NE,PI,4,1335.423104494072,0.2584482551864732,26.828081527013914,25.664340019411195,2020
NE,PI,5,1335.7368856088565,0.0634179084440864,26.967177694100773,25.68660570199032,2020
NE,PI,6,1450.7457431222529,0.0188050740776605,26.81083624369421,25.3819654637175,2020
NE,PI,7,1590.537415654521,0.0026604857401995,27.19550414225096,25.56245706203273,2020
NE,PI,8,1728.0624079528718,0.0022791379893941,28.35027167760924,26.646694589087616,2020
NE,PI,9,1810.820466226138,0.0007466168922071,29.9109411489958,28.169652031760855,2020
NE,PI,10,1711.9861637678323,0.0496255870034268,30.636040868454664,28.88979565772669,2020
NE,PI,11,1350.562087912088,0.128674772972141,28.095128494775487,26.801962722394805,2020
NE,PI,12,1346.5103016622204,0.0462154585502603,28.218057874234837,26.83504451864218,2020
NE,RN,1,1579.6523910733265,0.1490422984836392,29.01126225245049,27.933366673334667,2020
NE,RN,2,1562.1917361637604,0.2461881188118811,28.60891800507185,27.542561284868977,2020
NE,RN,3,1555.1598765432095,0.3563267233238905,27.989658634538152,26.96698795180723,2020
NE,RN,4,1586.788823794502,0.2606060606060606,28.25792181069959,27.187577160493827,2020
NE,RN,5,1455.5826334888543,0.2053446940356313,27.82859290438965,26.75604329524955,2020
NE,RN,6,1471.0688636363636,0.1813455657492355,27.345119006553983,26.09755087961366,2020
NE,RN,7,1546.9677659574468,0.1263243024666397,27.606720055710305,26.15142757660167,2020
NE,RN,8,1884.0435632808255,0.013584036838066,28.953875671527246,27.32233307751343,2020
NE,RN,9,2053.37339988256,0.0168825741746761,29.40628667225482,27.770452640402347,2020
NE,RN,10,2125.676477472206,0.0172310330047149,30.214390034364264,28.57963917525773,2020
NE,RN,11,2014.0925722145803,0.0235167206040992,30.792207792207797,29.12900432900433,2020
NE,RN,12,1913.981385642738,0.0161331626120358,30.653401797175867,29.02252888318357,2020
NE,SE,1,1795.9556118754526,0.0467228464419475,28.070063821300355,26.77451136816913,2020
NE,SE,2,1760.3048838125244,0.118954248366013,28.243611357586516,26.955922803904173,2020
NE,SE,3,1612.4635058556858,0.1996629213483146,27.94334332191781,26.731742294520547,2020
NE,SE,4,1651.625,0.2847069597069597,27.300951796131407,26.164384402824684,2020
NE,SE,5,1291.9293293293292,0.2528673835125448,25.573670956911023,24.54322887520985,2020
NE,SE,6,1274.338749359303,0.3039392501186521,24.375275501554118,23.28058773664877,2020
NE,SE,7,1421.53177028451,0.1081774452164617,23.486692467996427,22.279339089014588,2020
NE,SE,8,1581.9861664712778,0.1125,23.37681862269641,22.09812479793081,2020
NE,SE,9,1650.4607932379715,0.0583333333333333,24.326180555555556,22.940868055555555,2020
NE,SE,10,1847.8615861214373,0.0205645161290322,26.53760080645161,25.1171370967742,2020
NE,SE,11,1656.9561260210037,0.050062893081761,26.577151144054135,25.24859813084112,2020
NE,SE,12,1809.5035036496351,0.0035502958579881,27.041366325981716,25.614443249058635,2020
